repo,language,fileCount,rawTokens,finalTokens,reductionPct,coverageGrade,coveragePct,healthScore,healthGrade,hitAt5,mrr,tasks
silq-quantum,Python,8,137321,993,99.3,D,7.6923076923076925,100,A,,,0
skia-library,Unknown,4222,14365710,164997,98.9,D,26.293995859213247,100,A,,,0
slack-sdk,Python,190,476242,16209,96.6,B,75.70093457943925,100,A,,,0
slim,PHP,125,133060,8160,93.9,A,97.6,100,A,,,0
sokol-headers,Unknown,39,1158296,7150,99.4,C,62,100,A,,,0
solana-blockchain,Rust,1250,4777396,118791,97.5,B,74.96171516079633,100,A,,,0
spark,Scala,9003,10799419,158364,98.5,D,40.348837209302324,100,A,,,0
sphinx-doc,Python,258,789447,34895,95.6,C,53.28282828282829,100,A,,,0
splunk-sdk,Python,60,175794,6496,96.3,B,87.75510204081633,100,A,,,0
spring-boot,Java,9079,3345683,150852,95.5,D,49.356913183279744,100,A,,,0
spring-framework,Java,9674,6913586,155854,97.7,D,34.69307707393607,100,A,,,0
spring-petclinic,Java,64,103920,4107,96,C,71.42857142857143,100,A,40,0.4,5
sqlalchemy,Python,669,5028503,110243,97.8,B,86.9172932330827,100,A,,,0
square-sdk,Python,2543,2194094,162418,92.6,B,88.46557147850402,100,A,,,0
stackdriver-client,Python,12465,122117936,200813,99.8,D,7.188816097332709,100,A,,,0
starship,Rust,255,400833,8315,97.9,A,97.98387096774194,100,A,,,0
storybook,TypeScript,4048,2282068,164066,92.8,C,54.552220292731334,100,A,,,0
strapi,TypeScript,4552,1635003,131307,92,D,40.81579631073006,100,A,,,0
stripe-js,TypeScript,259,1700758,38987,97.7,A,95.3307392996109,100,A,,,0
substrate-blockchain,Rust,1501,4077650,110481,97.3,B,77.31322823851954,100,A,,,0
svelte,Svelte,8323,694987,71211,89.8,D,15.100192319622805,100,A,20,0.104,5
svelte-language-tools,Svelte,1694,431733,30072,93,D,19.633353045535188,100,A,,,0
sveltekit,JavaScript,2305,504092,39721,92.1,D,37.195671776375114,100,A,,,0
sveltepress,TypeScript,294,159358,8367,94.7,D,16.02787456445993,100,A,,,0
swift-core,Swift,22816,13885893,133545,99,D,34.826865400345355,100,A,,,0
swiftformat,Swift,588,2685290,26722,99,C,64.42141623488774,100,A,,,0
swiftyjson,Swift,23,37127,1228,96.7,A,95,100,A,,,0
symfony,PHP,10749,7470272,154599,97.9,D,20.154677599701827,100,A,,,0
sympy-math,Python,715,4162156,95081,97.7,B,79.65517241379311,100,A,,,0
syncthing,Go,642,1009669,57379,94.3,B,88.06970509383379,100,A,,,0
tailwindcss,TypeScript,395,265105,10941,95.9,D,40.993788819875775,100,A,,,0
tauri,Rust,500,1242624,32098,97.4,C,72.00902934537245,100,A,,,0
telegram-bot,Python,520,945014,28610,97,A,93.61702127659575,100,A,,,0
teleport,Go,9212,29924364,179744,99.4,D,19.355427736693144,100,A,,,0
tensorflow,Unknown,3872,57577798,166434,99.7,D,5.874396135265701,100,A,,,0
tensorflow-hub,Python,41,70509,4437,93.7,B,89.1891891891892,100,A,,,0
tensorrt-inference,Python,502,1609994,59883,96.3,C,55.44554455445545,100,A,,,0
terraform,Go,1985,5543743,155431,97.2,C,53.376995497339344,100,A,,,0
terraform-aws-vpc,Unknown,40,119640,3108,97.4,A,100,100,A,,,0
testify-go,Unknown,7,7709,556,92.8,A,,100,A,,,0
tezos-blockchain,Unknown,1,175,174,0.6,A,,100,A,,,0
threadx-rtos,Unknown,1867,5149009,160515,96.9,C,50.510708401976935,100,A,,,0
threejs,JavaScript,3502,2859796,77744,97.3,C,60.11608623548922,100,A,,,0
thrift-framework,Java,1126,2520924,100122,96,B,84.49612403100775,100,A,,,0
tinacms,TypeScript,697,1272691,49722,96.1,C,71.13163972286374,100,A,,,0
tokio,Rust,784,1024636,23778,97.7,C,52.68096514745309,100,A,,,0
traefik-proxy,Go,952,2323681,101398,95.6,A,93.47593582887701,100,A,,,0
transformers,Python,2465,12825814,196501,98.5,D,35.66988950276243,100,A,,,0
transit-clj,Unknown,7,0,143,0,A,,100,A,,,0
triton-lang,Python,743,3021907,128635,95.7,B,76.04790419161677,100,A,,,0
turborepo,TypeScript,1739,63371,7294,88.5,D,44.50261780104712,100,A,,,0
tvm-compiler,Python,1730,5151358,171396,96.7,D,33.14121037463977,100,A,,,0
typer,Python,645,236028,33580,85.8,C,61.58730158730159,100,A,,,0
typescript-compiler,TypeScript,39308,3659661,41185,98.9,D,32.74932614555256,100,A,,,0
typescript-eslint,TypeScript,619,1306245,47565,96.4,C,62.10892236384704,100,A,,,0
unittest,Python,2059,14496356,170475,98.8,D,46.81734317343174,100,A,,,0
v-lang,Unknown,3129,11240086,159499,98.6,D,44.19889502762431,100,A,,,0
vapor,Swift,250,287455,9882,96.6,C,69.19999999999999,100,A,60,0.35,5
vault-cli,Go,3230,6591931,161006,97.6,D,41.21137206427689,100,A,,,0
vault-helm,Unknown,62,49031,2280,95.3,A,,100,A,,,0
vendure,TypeScript,2239,3370896,197934,94.1,B,75.72295608711175,100,A,,,0
vim,Unknown,112,9310996,124126,98.7,C,70.51597051597052,100,A,,,0
vitest,TypeScript,2363,1141487,60036,94.7,D,28.66161616161616,100,A,,,0
vscode,TypeScript,12273,26280664,221653,99.2,D,8.611599297012303,100,A,,,0
vue-core,TypeScript,556,465950,22907,95.1,D,42.857142857142854,100,A,100,0.457,5
vuetify,Vue,2247,1296705,65870,94.9,D,45.87547763542369,100,A,,,0
vueuse,TypeScript,916,372347,35075,90.6,C,63.17647058823529,100,A,,,0
vulkan-hpp,Unknown,102,5220689,11005,99.8,B,81.57894736842105,100,A,,,0
waf-build,Unknown,1,175,174,0.6,A,,100,A,,,0
wasm-bindgen,Rust,2777,2358371,109085,95.4,C,51.93148688046647,100,A,,,0
wasm-bindgen-test,Rust,1221,2160415,82133,96.2,C,52.76532137518684,100,A,,,0
wasm-pack,Rust,56,76457,2804,96.3,B,88.09523809523809,100,A,,,0
wasm3-vm,Unknown,95,185780,8983,95.2,C,62.13592233009708,100,A,,,0
wasmer-runtime,Rust,949,2735583,79262,97.1,B,87.91878172588832,100,A,,,0
wasmtime,Rust,1441,4948518,109942,97.8,C,73.40168878166466,100,A,,,0
webgpu-rs,Rust,553,2601545,49153,98.1,B,80.34188034188034,100,A,,,0
webpack,JavaScript,10929,1575120,57889,96.3,C,50.935374149659864,100,A,,,0
woocommerce,PHP,6100,7937581,153718,98.1,D,27.809979838709676,100,A,,,0
wordpress,PHP,3811,6378427,107760,98.3,C,53.89203698180734,100,A,,,0
wpscan,Ruby,652,2624233,45940,98.2,C,50.09416195856874,100,A,,,0
xarray-library,Python,159,1037202,33180,96.8,B,85.18518518518519,100,A,,,0
yarn-pkg,TypeScript,386,2450991,38540,98.4,D,35.50135501355013,100,A,,,0
zephyr-rtos,Unknown,14427,21990926,169521,99.2,D,8.077699778824886,100,A,,,0
zeromq,Unknown,264,502136,22167,95.6,C,68.78787878787878,100,A,,,0
zig-lang,Unknown,7481,36097814,165958,99.5,D,3.860976306023409,100,A,,,0
